ticker,cik,fiscal_year,revenue,ebit,ebitda,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_borrowings,long_term_debt_current,long_term_debt_noncurrent,gross_debt,net_debt,shares_out,nwc,delta_nwc,effective_tax_rate
BAC,0000070858,2020,85528000000,18995000000,20838000000,8225000000,1101000000,17894000000,1843000000,,,,,,,262934000000,262934000000,,,,,0.057962621742563836
BAC,0000070858,2021,89113000000,33976000000,35874000000,4738000000,1998000000,31978000000,1898000000,,,,,,,280117000000,280117000000,,,,,0.05880621615257829
BAC,0000070858,2022,94950000000,30969000000,32947000000,20103000000,3441000000,27528000000,1978000000,,,,,,,275982000000,275982000000,,,,,0.1111111111111111
BAC,0000070858,2023,98581000000,28342000000,30399000000,73331000000,1827000000,26515000000,2057000000,,,,,,,302204000000,302204000000,,,,,0.06446263495871851
BAC,0000070858,2024,101887000000,29254000000,31443000000,,2122000000,27132000000,2189000000,,,,,,,283279000000,283279000000,,,,,0.07253708894510152
WFC,0000072971,2020,,581000000,1981000000,7963000000,-3005000000,3301000000,1400000000,,,,,58999000000,,212950000000,271949000000,,,,,-10.152027027027026
WFC,0000072971,2021,,28816000000,30216000000,3915000000,5578000000,21548000000,1400000000,,,,,34409000000,,160689000000,195098000000,,,,,0.20563297205632972
WFC,0000072971,2022,,14969000000,16169000000,9074000000,2087000000,13182000000,1200000000,,,,,51145000000,,174870000000,226015000000,,,,,0.1366821664811055
WFC,0000072971,2023,,21636000000,22936000000,32743000000,2607000000,19142000000,1300000000,,,,,89559000000,,207588000000,297147000000,,,,,0.11986758011862614
WFC,0000072971,2024,,23364000000,24764000000,,3399000000,19722000000,1400000000,,,,,108806000000,,173078000000,281884000000,,,,,0.14700921240430778
PEP,0000077476,2020,70372000000,10080000000,12628000000,1128000000,1894000000,7120000000,2548000000,,23001000000,23372000000,8185000000,,,40370000000,40370000000,32185000000,,-8556000000,,0.21011759485245174
PEP,0000077476,2021,79474000000,11162000000,13872000000,1863000000,2142000000,7618000000,2710000000,,21783000000,26220000000,5596000000,,,36026000000,36026000000,30430000000,,-10033000000,-1477000000,0.2194672131147541
PEP,0000077476,2022,86392000000,11512000000,14275000000,939000000,1727000000,8910000000,2763000000,,21539000000,26785000000,4954000000,,,35657000000,35657000000,30703000000,,-10200000000,-167000000,0.1623578076525336
PEP,0000077476,2023,91471000000,11986000000,14934000000,819000000,2262000000,9074000000,2948000000,,26950000000,31647000000,9711000000,,,37595000000,37595000000,27884000000,,-14408000000,-4208000000,0.19954128440366972
PEP,0000077476,2024,91854000000,12887000000,16047000000,919000000,2320000000,9578000000,3160000000,,25826000000,31536000000,8505000000,,,37224000000,37224000000,28719000000,,-14215000000,193000000,0.19499075474869726
KO,0000021344,2020,33014000000,8997000000,10533000000,1437000000,1981000000,7747000000,1536000000,1177000000,19240000000,14601000000,6795000000,2183000000,485000000,40125000000,42793000000,35998000000,,-4824000000,,0.20363898026315788
KO,0000021344,2021,38655000000,10308000000,11760000000,1597000000,2621000000,9771000000,1452000000,1367000000,22545000000,19950000000,9684000000,3307000000,1338000000,38116000000,42761000000,33077000000,,-11734000000,-6910000000,0.21150742414460943
KO,0000021344,2022,43004000000,10909000000,12169000000,882000000,2115000000,9542000000,1260000000,1484000000,22591000000,19724000000,9519000000,2373000000,399000000,36377000000,39149000000,29630000000,,-9424000000,2310000000,0.18143604701038002
KO,0000021344,2023,45754000000,11311000000,12439000000,1527000000,2249000000,10714000000,1128000000,1852000000,26732000000,23571000000,9366000000,,1960000000,35547000000,37507000000,28141000000,,-8165000000,1259000000,0.17349379001774282
KO,0000021344,2024,47061000000,9992000000,11067000000,1656000000,2437000000,10631000000,1075000000,2064000000,25997000000,25249000000,10828000000,,,,,,,-10080000000,-1915000000,0.18648607284970922
WMT,0000104169,2021,559151000000,22548000000,,1976000000,6858000000,13510000000,,10264000000,90067000000,92645000000,17741000000,224000000,3115000000,41194000000,44533000000,26792000000,,-23658000000,,0.3367046347211312
WMT,0000104169,2022,572754000000,25942000000,,1674000000,4756000000,13673000000,,13106000000,81070000000,87379000000,14760000000,410000000,2803000000,34864000000,38077000000,23317000000,,-24282000000,-624000000,0.2580715177166423
WMT,0000104169,2023,611289000000,20428000000,,1787000000,5724000000,11680000000,,16857000000,75655000000,92198000000,8625000000,372000000,4191000000,34649000000,39212000000,30587000000,,-29731000000,-5449000000,0.32888991036543325
WMT,0000104169,2024,648125000000,27012000000,,2259000000,5578000000,15511000000,,20606000000,76877000000,92415000000,9867000000,878000000,3447000000,36132000000,40457000000,30590000000,,-29730000000,1000000,0.26449807956754706
WMT,0000104169,2025,680985000000,29348000000,,2249000000,6152000000,19436000000,,23783000000,79458000000,96584000000,9037000000,3068000000,2598000000,33401000000,39067000000,30030000000,,-31829000000,-2099000000,0.2404251993121776
COST,0000909832,2021,195929000000,6708000000,8489000000,171000000,1601000000,5007000000,1781000000,3588000000,29505000000,29441000000,11258000000,,799000000,6692000000,7491000000,-3767000000,,-11993000000,,0.2422820823244552
COST,0000909832,2022,226954000000,7793000000,9693000000,158000000,1925000000,5844000000,1900000000,3891000000,32696000000,31998000000,10203000000,,73000000,6484000000,6557000000,-3646000000,,-9578000000,2415000000,0.24777963701892136
COST,0000909832,2023,242290000000,8114000000,10191000000,160000000,2195000000,6292000000,2077000000,4323000000,35879000000,33583000000,13700000000,,1081000000,5377000000,6458000000,-7242000000,,-12485000000,-2907000000,0.25863084717803697
COST,0000909832,2024,254453000000,9285000000,11522000000,169000000,2373000000,7367000000,2237000000,4710000000,34246000000,35464000000,9906000000,,103000000,5794000000,5897000000,-4009000000,,-11227000000,1258000000,0.24363449691991787
COST,0000909832,2025,275235000000,10383000000,12809000000,154000000,2719000000,8099000000,2426000000,5498000000,38380000000,37108000000,14161000000,,75000000,5713000000,5788000000,-8373000000,,-12964000000,-1737000000,0.2513403586614901
JNJ,0000200406,2020,82584000000,,,201000000,1783000000,14714000000,7231000000,3347000000,51237000000,42493000000,13985000000,2631000000,,32635000000,35266000000,21281000000,,-7872000000,,0.10808025701642723
JNJ,0000200406,2021,93775000000,,,183000000,1898000000,20878000000,7390000000,3652000000,60979000000,45226000000,14487000000,3766000000,2131000000,29985000000,35882000000,21395000000,,-4631000000,3241000000,0.08333333333333333
JNJ,0000200406,2022,94943000000,,,276000000,3784000000,17941000000,6970000000,4009000000,55294000000,55802000000,14127000000,12771000000,1551000000,26888000000,41210000000,27083000000,,-28957000000,-24326000000,0.17417721518987342
JNJ,0000200406,2023,21395000000,,,772000000,1736000000,4049000000,7486000000,4543000000,53495000000,46282000000,21859000000,3451000000,1469000000,25881000000,30801000000,8942000000,,-19566000000,9391000000,0.3000864304235091
JNJ,0000200406,2024,88821000000,,,,2621000000,14066000000,7339000000,4424000000,55893000000,50321000000,24105000000,5983000000,1749000000,30651000000,38383000000,14278000000,,-26265000000,-6699000000,0.1570683765805717
PFE,0000078003,2020,,7497000000,,1449000000,477000000,9616000000,,2252000000,35067000000,25920000000,1784000000,2703000000,2002000000,37133000000,41838000000,40054000000,,2658000000,,0.04726047755870405
PFE,0000078003,2021,,24311000000,29502000000,1291000000,1852000000,21979000000,5191000000,2711000000,59693000000,42671000000,1944000000,2241000000,1636000000,36195000000,40072000000,38128000000,,11201000000,8543000000,0.07771390206034157
PFE,0000078003,2022,100330000000,34729000000,39793000000,1238000000,3328000000,31372000000,5064000000,3236000000,51259000000,42138000000,416000000,2945000000,2560000000,32884000000,38389000000,37973000000,,3200000000,-8001000000,0.09590778097982709
PFE,0000078003,2023,58496000000,1058000000,7348000000,2209000000,-1115000000,2119000000,6290000000,3907000000,43333000000,47794000000,2853000000,10350000000,2254000000,61538000000,74142000000,71289000000,,-19918000000,-23118000000,-1.1105577689243027
PFE,0000078003,2024,63627000000,8023000000,15036000000,3091000000,-28000000,8031000000,7013000000,2909000000,50358000000,42995000000,1043000000,6946000000,3747000000,57405000000,68098000000,67055000000,,-4373000000,15545000000,-0.0034986879920029987
XOM,0000034088,2020,181502000000,-28883000000,17126000000,1158000000,-5632000000,-22440000000,46009000000,17282000000,44893000000,56363000000,4364000000,20458000000,2930000000,,23388000000,19024000000,,-39222000000,,
XOM,0000034088,2021,285640000000,31234000000,51841000000,947000000,7636000000,23040000000,20607000000,12076000000,59154000000,56643000000,6802000000,4276000000,2392000000,,6668000000,-134000000,,-10959000000,28263000000,0.24892424044855913
XOM,0000034088,2022,413680000000,77753000000,101793000000,798000000,20176000000,55740000000,24040000000,18407000000,97631000000,69045000000,29640000000,634000000,181000000,,815000000,-28825000000,,-1869000000,9090000000,0.26576742715633067
XOM,0000034088,2023,344582000000,52783000000,73424000000,849000000,15429000000,36010000000,20641000000,21919000000,96609000000,65316000000,31539000000,4090000000,4009000000,,8099000000,-23440000000,,-8345000000,-6476000000,0.29994751064367503
XOM,0000034088,2024,349585000000,48873000000,72315000000,996000000,13810000000,33680000000,23442000000,24306000000,91990000000,70307000000,23029000000,4955000000,4892000000,,9847000000,-13182000000,,-11193000000,-2848000000,0.29079806275005265
CVX,0000093410,2020,94692000000,,,697000000,-1892000000,-5543000000,19508000000,,26078000000,22183000000,,1548000000,2600000000,,4148000000,,,-253000000,,
CVX,0000093410,2021,162465000000,,,712000000,5950000000,15625000000,17925000000,,33738000000,26791000000,,256000000,4946000000,,5202000000,,,1745000000,1998000000,0.27578215527230593
CVX,0000093410,2022,246252000000,,,516000000,14066000000,35465000000,16319000000,,50343000000,34208000000,17678000000,1964000000,2694000000,,4658000000,-13020000000,,-6201000000,-7946000000,0.2839837677414145
CVX,0000093410,2023,200949000000,,,469000000,8173000000,21369000000,17326000000,,41128000000,32258000000,8178000000,529000000,1650000000,,2179000000,-5999000000,,-1487000000,4714000000,0.2766569629679778
CVX,0000093410,2024,202792000000,,,594000000,9757000000,17661000000,17282000000,,40911000000,38558000000,,4406000000,4012000000,,8418000000,,,-6065000000,-4578000000,0.355861113137355
